Confidence_Before,Accuracy_Before,Size_Before,Confidence_After,Accuracy_After,Size_After
0.1,0.21999999999999997,21,0.1,0.125,21
0.18888888888888888,0.2822222222222222,34,0.18888888888888888,0.20944444444444443,34
0.2777777777777778,0.34444444444444444,29,0.2777777777777778,0.29388888888888887,29
0.3666666666666667,0.4066666666666666,25,0.3666666666666667,0.3783333333333333,25
0.4555555555555556,0.4688888888888889,22,0.4555555555555556,0.46277777777777784,22
0.5444444444444445,0.5311111111111111,35,0.5444444444444445,0.5472222222222223,35
0.6333333333333333,0.5933333333333333,21,0.6333333333333333,0.6316666666666666,21
0.7222222222222222,0.6555555555555556,33,0.7222222222222222,0.7161111111111111,33
0.8111111111111111,0.7177777777777777,37,0.8111111111111111,0.8005555555555556,37
0.9,0.78,25,0.9,0.885,25
